Estado,Vostos Biden,Votos Trump,Total,Ganador,Mesas procesadas
Alabama,843473,1434159,2277632,Trump,99%
Alaska,115543,160193,275736,Trump,78%
Arizona,1663460,1651924,3315384,Biden,99%
Arkansas,418064,757068,1175132,Trump,99%
California,10371239,5462158,15833397,Biden,96%
Colorado,1783153,1347542,3130695,Biden,97%
Connecticut,1079168,714176,1793344,Biden,98%
Delaware,296268,200603,496871,Biden,99%
District of Columbia,285728,16306,302034,Biden,88%
Florida,5294767,5667474,10962241,Trump,99%
Georgia,2471982,2457925,4929907,Biden,99%
Hawaii,365802,196602,562404,Biden,99%
Idaho,286991,554019,841010,Trump,99%
Illinois,3351012,2407096,5758108,Biden,96%
Indiana,1239939,1727865,2967804,Trump,99%
Iowa,758416,897149,1655565,Trump,98%
Kansas,551199,753370,1304569,Trump,99%
Kentucky,772223,1326347,2098570,Trump,98%
Louisiana,856034,1255776,2111810,Trump,99%
Maine,420357,341949,762306,Biden,91%
Maryland,1772054,919467,2691521,Biden,88%
Massachusetts,2271763,1131042,3402805,Biden,93%
Michigan,2795649,2647004,5442653,Biden,99%
Minnesota,1718739,1485345,3204084,Biden,99%
Mississippi,452795,688745,1141540,Trump,97%
Missouri,1242851,1711848,2954699,Trump,99%
Montana,244783,343590,588373,Trump,99%
Nebraska,368994,551499,920493,Trump,99%
Nevada,671955,635089,1307044,Biden,98%
New Hampshire,424937,365660,790597,Biden,99%
New Jersey,2345158,1692031,4037189,Biden,91%
New Mexico,499378,401197,900575,Biden,99%
New York,3710478,2856462,6566940,Biden,84%
North Carolina,2664244,2737488,5401732,Trump,98%
North Dakota,114901,235585,350486,Trump,99%
Ohio,2603677,3074400,5678077,Trump,95%
Oklahoma,503890,1020280,1524170,Trump,99%
Oregon,1327971,948233,2276204,Biden,98%
Pennsylvania,3391382,3337398,6728780,Biden,99%
Rhode Island,306113,199810,505923,Biden,99%
South Carolina,1091541,1385103,2476644,Trump,99%
South Dakota,150471,261043,411514,Trump,99%
Tennessee,1139376,1849820,2989196,Trump,99%
Texas,5218943,5866019,11084962,Trump,99%
Utah,546604,837509,1384113,Trump,99%
Vermont,242841,112591,355432,Biden,99%
Virginia,2413342,1962695,4376037,Biden,99%
Washington,2345224,1560749,3905973,Biden,98%
West Virginia,234197,542670,776867,Trump,99%
Wisconsin,1630619,1610073,3240692,Biden,99%
Wyoming,73491,193559,267050,Trump,99%
